Interacao 	 	 1 	 	 2 		 3 		 4	 	 5	 	 6 		 7 		 8 
1 		(12.950844619618655, [0, 1, 2, 3, 4, 5, 6]) 		(12.950844619618655, [0, 1, 2, 3, 4, 5, 6]) 		(12.950844619618655, [0, 1, 2, 3, 4, 5, 6]) 		(12.950844619618655, [0, 1, 2, 3, 4, 5, 6]) 		(12.22677276241436, [1, 6, 4, 3, 5, 0, 2]) 		(12.358485472372255, [3, 4, 5, 6, 2, 1, 0]) 		(11.30056307974577, [0, 2, 3, 1, 4, 6, 5]) 		(12.59625606037856, [1, 5, 2, 4, 3, 0, 6]) 		
2 		(10.30056307974577, [0, 4, 5, 3, 1, 2, 6]) 		(10.650281539872886, [5, 1, 3, 6, 4, 0, 2]) 		(12.698908717413941, [2, 1, 0, 5, 3, 4, 6]) 		(12.39834563766817, [3, 1, 6, 2, 0, 5, 4]) 		(11.886349517372675, [4, 2, 1, 5, 6, 3, 0]) 		(10.064495102245981, [3, 5, 1, 6, 2, 0, 4]) 		(9.650281539872886, [6, 2, 0, 4, 5, 1, 3]) 		(11.676619087329465, [1, 5, 3, 2, 4, 0, 6]) 		
3 		(10.30056307974577, [0, 4, 5, 3, 1, 2, 6]) 		(10.536631057245561, [2, 6, 5, 3, 1, 0, 4]) 		(11.67004637770997, [4, 3, 5, 1, 2, 0, 6]) 		(10.812559200041264, [6, 4, 3, 1, 5, 2, 0]) 		(10.47213595499958, [5, 1, 3, 0, 2, 6, 4]) 		(10.064495102245981, [3, 5, 1, 6, 2, 0, 4]) 		(9.30056307974577, [0, 4, 2, 6, 5, 1, 3]) 		(11.650281539872886, [1, 3, 6, 5, 4, 2, 0]) 		
4 		(10.064495102245981, [0, 3, 5, 1, 6, 4, 2]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.82842712474619, [4, 2, 0, 3, 5, 1, 6]) 		(10.30056307974577, [1, 3, 5, 6, 4, 2, 0]) 		(10.071067811865476, [0, 4, 2, 3, 5, 1, 6]) 		(9.30056307974577, [0, 4, 2, 6, 5, 1, 3]) 		(9.30056307974577, [0, 4, 2, 6, 5, 1, 3]) 		(11.122417494872465, [4, 1, 0, 2, 6, 5, 3]) 		
5 		(10.064495102245981, [0, 3, 5, 1, 6, 4, 2]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.82842712474619, [4, 2, 0, 3, 5, 1, 6]) 		(9.650281539872886, [6, 5, 1, 4, 2, 0, 3]) 		(9.89292222699217, [0, 4, 2, 3, 1, 5, 6]) 		(9.30056307974577, [0, 4, 2, 6, 5, 1, 3]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(11.064495102245981, [0, 2, 4, 6, 3, 5, 1]) 		
6 		(9.650281539872886, [6, 5, 1, 4, 3, 0, 2]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.82842712474619, [4, 2, 0, 3, 5, 1, 6]) 		(9.650281539872886, [6, 5, 1, 4, 2, 0, 3]) 		(9.89292222699217, [0, 4, 2, 3, 1, 5, 6]) 		(9.30056307974577, [0, 4, 2, 6, 5, 1, 3]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(10.30056307974577, [0, 3, 5, 6, 2, 4, 1]) 		
7 		(9.650281539872886, [6, 5, 1, 4, 3, 0, 2]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.242640687119284, [2, 4, 0, 3, 5, 1, 6]) 		(9.242640687119286, [6, 1, 5, 3, 0, 4, 2]) 		(9.89292222699217, [0, 4, 2, 3, 1, 5, 6]) 		(9.30056307974577, [0, 4, 2, 6, 5, 1, 3]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.886349517372675, [2, 4, 6, 5, 1, 3, 0]) 		
8 		(9.650281539872886, [6, 5, 1, 4, 3, 0, 2]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.242640687119284, [2, 4, 0, 3, 5, 1, 6]) 		(9.242640687119284, [2, 0, 4, 3, 5, 1, 6]) 		(9.478708664619075, [0, 4, 3, 5, 1, 6, 2]) 		(9.30056307974577, [0, 4, 2, 6, 5, 1, 3]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.886349517372675, [2, 4, 6, 5, 1, 3, 0]) 		
9 		(9.650281539872886, [6, 5, 1, 4, 3, 0, 2]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.242640687119284, [2, 4, 0, 3, 5, 1, 6]) 		(9.242640687119284, [2, 0, 4, 3, 5, 1, 6]) 		(9.478708664619075, [0, 4, 3, 5, 1, 6, 2]) 		(9.30056307974577, [0, 4, 2, 6, 5, 1, 3]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.886349517372675, [2, 4, 6, 5, 1, 3, 0]) 		
10 		(9.650281539872886, [6, 5, 1, 4, 3, 0, 2]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.242640687119284, [2, 4, 0, 3, 5, 1, 6]) 		(9.242640687119284, [2, 0, 4, 3, 5, 1, 6]) 		(9.478708664619075, [0, 4, 3, 5, 1, 6, 2]) 		(9.30056307974577, [0, 4, 2, 6, 5, 1, 3]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.886349517372675, [2, 4, 6, 5, 1, 3, 0]) 		
11 		(9.650281539872886, [6, 5, 1, 4, 3, 0, 2]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.242640687119284, [2, 4, 0, 3, 5, 1, 6]) 		(9.242640687119284, [2, 0, 4, 3, 5, 1, 6]) 		(9.242640687119286, [6, 1, 5, 3, 0, 4, 2]) 		(9.30056307974577, [0, 4, 2, 6, 5, 1, 3]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.478708664619075, [6, 2, 4, 0, 3, 5, 1]) 		
12 		(9.478708664619075, [5, 3, 1, 6, 2, 4, 0]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.242640687119284, [2, 4, 0, 3, 5, 1, 6]) 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.242640687119286, [6, 1, 5, 3, 0, 4, 2]) 		(9.30056307974577, [0, 4, 2, 6, 5, 1, 3]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.478708664619075, [6, 2, 4, 0, 3, 5, 1]) 		
13 		(9.478708664619075, [5, 3, 1, 6, 2, 4, 0]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.242640687119284, [2, 4, 0, 3, 5, 1, 6]) 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.242640687119286, [6, 1, 5, 3, 0, 4, 2]) 		(9.06449510224598, [6, 2, 4, 0, 3, 1, 5]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.478708664619075, [6, 2, 4, 0, 3, 5, 1]) 		
14 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.06449510224598, [6, 5, 3, 1, 4, 2, 0]) 		(9.242640687119284, [2, 4, 0, 3, 5, 1, 6]) 		(9.06449510224598, [6, 2, 0, 4, 1, 5, 3]) 		(9.242640687119286, [6, 1, 5, 3, 0, 4, 2]) 		(9.06449510224598, [6, 2, 4, 0, 3, 1, 5]) 		(9.06449510224598, [2, 0, 4, 3, 1, 5, 6]) 		(9.06449510224598, [6, 2, 0, 4, 3, 1, 5]) 		
